gid	gid_v3	B_Anther	B_Ear	B_Embryo	B_Endosperm	B_Internode	B_Leaf	B_Leaf10	B_Root	B_Shoot	B_Tassel	W_Anther	W_Ear	W_Embryo	W_Endosperm	W_Internode	W_Leaf	W_Leaf10	W_Root	W_Shoot	W_Tassel
Zm00001d041679	GRMZM2G063949	38.8	137.3	249.9	147.0	38.2	7.6	32.4	58.2	85.8	102.1	37.2	127.8	231.5	95.3	56.3	3.1	36.7	64.3	87.9	123.0
Zm00001d041763	GRMZM2G083130	6.3	0.1	0.1	0.1	0.1	13.6	7.4	0.2	5.0	2.1	6.5	0.2	0.1	1.6	0.3	5.6	1.1	0.1	5.2	6.8
Zm00001d042192	GRMZM2G025870	7.6	6.3	0.1	0.0	15.6	16.8	4.1	34.3	8.8	1.2	2.7	3.2	1.6	0.1	9.3	5.9	1.2	47.0	7.8	3.7
Zm00001d042740	GRMZM2G061321	3.6	0.1	0.0	0.0	12.4	2.5	3.6	16.2	1.8	0.8	2.7	0.2	0.1	0.0	1.6	2.5	2.3	9.0	4.3	2.1
Zm00001d042848	GRMZM5G842071	56.6	0.3	0.4	0.1	19.3	12.9	8.1	41.4	33.0	12.5	55.5	0.5	1.3	0.3	37.5	31.6	7.4	93.3	71.6	3.6
Zm00001d042943	GRMZM2G359234	72.5	24.0	20.1	21.7	141.3	86.8	76.5	103.8	57.0	63.2	76.7	20.3	20.1	10.8	73.1	83.3	156.2	112.7	84.6	154.2
Zm00001d042980	GRMZM2G122280	1.4	2.4	0.3	0.0	0.0	0.1	0.1	0.0	0.4	0.1	8.6	1.0	0.0	0.0	0.0	0.1	0.0	0.0	1.5	0.3
Zm00001d043019	GRMZM2G132169	27.1	0.1	0.1	0.0	2.5	1.5	16.3	51.4	52.3	1.9	11.0	0.3	0.6	0.0	0.1	0.5	274.2	64.6	72.6	46.3
Zm00001d044122	GRMZM2G026930	461.0	2.7	2.1	0.2	2.6	15.0	0.9	0.0	35.5	30.3	10.4	1.0	1.8	0.2	1.7	0.1	0.4	0.1	18.4	312.7
Zm00001d044339	GRMZM2G071021	265.3	87.3	106.0	1.5	142.7	85.2	197.9	115.6	144.7	175.8	24.7	17.3	21.2	0.5	38.6	50.8	53.0	83.5	101.9	14.4
Zm00001d044340	GRMZM2G097706	6.8	0.7	22.9	0.2	12.3	64.8	1.9	18.3	0.6	6.4	15.8	0.2	6.1	0.2	2.6	101.5	0.4	22.4	0.6	0.9
Zm00001d044683	GRMZM2G175076	52.2	0.5	9.4	0.0	40.0	13.3	94.3	3.4	23.3	41.8	13.5	0.2	2.5	0.2	9.3	28.6	84.5	5.4	24.6	295.4
Zm00001d045043	GRMZM2G090980	51.9	31.1	28.0	2.6	58.5	79.1	31.6	118.5	30.5	78.7	65.7	27.7	16.0	5.0	39.0	115.0	29.7	82.2	20.9	20.6
Zm00001d045055	GRMZM2G165390	46.0	1.4	1.5	0.1	0.9	3.3	1.4	0.4	13.5	5.5	3.7	0.5	0.9	0.3	0.2	0.2	1.9	0.1	7.2	29.1
