chromosome coordinate	FPKM
5:211705202-211716883	0.325643
5:211701635-211703692	0.111163
6:125089479-125089929	0.621931
2:192749404-192750120	0
9:10528778-10529359	0.415593
10:4638250-4664484	0
10:4719250-4720141	0.111089
6:129138396-129144473	0.0421504
6:66132384-66133903	0
7:173238344-173240966	0.572743
7:142646102-142647449	1.16071
8:87502266-87502755	0.131604
9:6371445-6374213	0.0392168
4:218790161-218792082	11.4412
4:218770774-218772712	0.716006
4:218739106-218745767	10.5952
9:38363545-38372950	0.473524
6:147758722-147759571	0.191734
6:147767325-147767637	2.36277
2:213386025-213389632	68.7259
2:9495923-9496382	0
2:9490601-9493471	0.123503
7:24868032-24868371	0.485645
7:24839144-24840336	4.47395
6:150658482-150660391	4.31177
3:229305546-229308321	0.0863025
3:229388165-229418721	0.0421657
10:125645192-125645923	8.61976
8:26761673-26761946	0.482536
4:138653425-138654159	3.0733
4:171842283-171845974	0.244975
4:171798007-171798532	0.4521
9:32282888-32284301	0.396533
9:32272870-32273349	0.369249
2:161399093-161463883	0.594248
2:161399093-161463883	4.47783
7:152351853-152354543	1.44027
4:209116071-209120891	8.39614
7:152703578-152742017	0.529786
9:64703755-64710095	2.01253
9:64703755-64710095	0.190821
10:144935717-144936437	0.0526164
10:122172057-122175691	0.132492
9:86402097-86407999	1.62604
5:28698879-28699200	0.342698
5:28673864-28674296	0.96533
4:95585393-95587144	0.459591
2:87698727-87699070	0.282815
2:44298897-44304717	8.3562
5:156197706-156201103	0.289734
1:233184996-233210134	0.29168
2:183392278-183403901	0.761553
9:154865100-154865533	0.519633
2:219912351-219912891	3.7799
3:7179593-7180016	0.150798
1:142703237-142720948	0.350748
6:120746318-120748864	0.52674
6:120668336-120669902	0.690473
9:114030534-114033244	0.0913668
2:234921900-234922340	0.233404
3:4727210-4733882	0.0341596
4:194283464-194286652	0.128536
4:194340221-194342295	205.462
4:194342556-194343985	34.3352
4:194405474-194411088	1.88104
2:76215309-76218216	0.062593
3:192033353-192034113	12.6798
4:181782173-181790662	23.539
5:812640-814981	2.2981
10:40265219-40265474	0.695099
5:75292388-75292703	0.850193
2:1956308-1956752	0.194519
3:1566747-1571929	0.804237
5:172809876-172815753	8.99566
5:11778317-11778992	11.6274
9:119260054-119261518	0.319576
9:119202474-119202907	102.987
2:57883188-57883752	0
4:162083354-162084414	0.170932
2:2997710-3001870	16.7045
10:143477389-143482740	0.119542
4:170389678-170389918	0
10:101671874-101685000	0.0619484
4:28324992-28327317	0.582978
2:199693526-199694030	0
2:199691122-199692632	1.28028
2:199653144-199679775	0.0563134
6:146982989-146983193	2.135
2:143095528-143097456	0.35244
8:164651211-164651926	0.167488
5:31877958-31879804	0.242436
4:36485914-36488284	1.48227
5:34532386-34539232	2.24731
5:36947177-36950631	0.230723
4:166251247-166251772	0.162081
5:35789-37638	0
2:229413600-229414256	0.426511
3:22966248-22966584	2.91045
9:106728208-106741958	0.107487
3:70857211-70857571	0.237705
8:40948481-40951838	0.282758
8:40945690-40946202	1.90429
4:184951356-184952193	0.350763
3:19087277-19089513	0.0592213
10:104890465-104890831	0.390968
3:196306201-196306555	0
2:218368187-218369904	0.0247063
10:105788539-105788884	0.806956
5:64355447-64361154	24.9797
5:64335785-64339361	24.0048
5:61514480-61514972	0.462311
3:16614399-16616261	7.05028
5:10904891-10906664	0
10:121225509-121232890	0.0214317
2:139750265-139752054	0.238692
5:35417063-35417390	6.7128
1:8208994-8210311	4.19408
7:134319668-134321259	0.641241
3:217843744-217844523	0.0786288
8:78207591-78220064	0.988089
2:183934916-183945298	3.61661
1:298501322-298503474	0.631
3:12744244-12744814	0
4:202907636-202908425	0.0612393
7:10763751-10764483	0.11572
1:11781915-11782241	0.736191
5:4152303-4154298	1.02684
2:57649928-57652315	1.14817
3:91767706-91769347	0.0326456
8:37657959-37661681	25.5779
1:37997640-38007833	0.678691
4:195326117-195331420	0.152522
4:195214308-195214997	1.03049
2:228022481-228023857	0.213519
2:6354512-6356489	13.603
2:83328914-83338644	0.0514735
2:55892951-55893901	4.13872
5:151178519-151178960	31.0816
5:172930556-172937837	0.182987
5:4975278-4996060	4.69112
8:142827633-142827882	5.14604
2:226642103-226642769	0.37738
2:209225777-209231371	0.123991
6:124599315-124600179	0.409512
4:31350708-31351203	0.336256
2:114763713-114769341	1.61423
3:133231813-133232488	0.117354
4:217354293-217355193	0.0461339
10:32498327-32501049	1.52632
1:64984097-64984628	2.14592
1:7113384-7116457	0.0335501
1:7092773-7094460	0.199926
2:220750944-220758496	0.14241
5:213915511-213917618	3.85537
10:98697826-98715875	0.0781762
7:119130801-119132085	0.901458
10:130352327-130352704	2.49425
3:59803450-59812938	0.515851
5:64844301-64851560	0.0777072
4:237462641-237462956	1.17144
5:204776083-204776825	0.0849172
4:198853381-198855441	0.661503
8:138776467-138777128	0.5582
4:211425949-211427110	0.0334218
3:90996633-90997141	0.676043
4:26821034-26862156	0.267733
5:217829201-217829540	0.320595
3:220462142-220463125	0.188008
3:220520715-220524593	0.73651
7:27669316-27671990	43.4131
3:201176359-201177294	0.132888
1:295271367-295299822	0.029367
5:137128668-137129016	0.26014
3:155623258-155624384	2.84639
9:151748793-151751659	0.216234
1:72598204-72598989	0
1:39016834-39017331	0.132246
1:994575-995451	0.18475
2:230424075-230425859	0.0238977
6:167597767-167598226	0.476068
4:19601750-19621762	0.224332
4:127701652-127705032	0
2:16393720-16394197	0.120011
7:57743844-57744791	2.68783
5:15546473-15552849	0
7:2738044-2739244	8.37023
3:64819055-64821632	3.34237
3:39626426-39627161	0.814608
4:88834405-88834690	1.50939
2:81634694-81674280	0
2:81634694-81674280	0.379432
2:81634694-81674280	1.07633
4:176503650-176504151	0
5:60600491-60602235	25.3035
5:25434311-25435599	0.178673
3:89663005-89664562	0.0714957
9:156199740-156212095	0
2:14869122-14872799	0.0289741
8:129696123-129698172	4.59829
1:204074773-204076473	0.963316
3:43354715-43355375	0.447631
5:67202130-67202340	1.73068
5:76210305-76210828	27.3035
5:76217268-76220513	2.33651
1:214478873-214489491	0.0659415
1:183446756-183447365	7.01488
1:230122831-230123475	1.43218
1:230119709-230122502	3.19653
4:58493409-58496647	1.12194
4:65828264-65828522	0.77612
5:124080520-124084119	0.309391
4:212163493-212163814	0.657888
1:285229546-285229792	1.01196
2:6890128-6891442	0.185546
5:137851621-137855580	35.36
1:277130470-277131954	0.0424169
1:277032396-277046072	3.16834
6:46361758-46362205	0.151825
4:132201432-132205727	6.36781
7:147763481-147765021	0.280617
1:202528875-202529268	0.228319
2:3775743-3804915	6.57575
4:85141292-85141781	0.144421
10:137935949-137944665	2.15435
4:200540442-200541940	0
7:31773112-31778599	3.86579
8:5486611-5487356	0.244766
3:186061859-186071040	0.214848
3:167478878-167488255	0.407114
2:46859146-46861689	0.352668
3:45917972-45918952	0.0576641
8:69054057-69055371	0
4:34921124-34931317	3.44414
1:1779987-1782907	0.92944
1:1851967-1853974	0.114584
3:128910936-128915069	17.3194
1:131545627-131546257	0.43895
6:5503429-5507323	0.235255
9:19931556-19933396	0.135887
9:19961702-19962335	0.140832
4:39794586-39797110	0.090908
9:129725275-129726237	0.0665253
8:602410-603067	0.16322
9:59587804-59594040	0.598506
4:62363016-62363388	0.244404
4:241012700-241013855	0.112327
2:35880817-35882857	2.48332
10:149322936-149324124	0.0670802
2:30467926-30474303	0.34375
8:161864372-161865060	0.254802
5:3602042-3605499	0
1:87592213-87593444	2.87046
3:2776688-2782365	3.66905
3:2782428-2783675	17.0562
7:78112488-78113034	0.0860338
2:82790702-82791089	0.210458
3:213548726-213548999	0.582167
1:300108721-300149560	0.0289456
1:259913900-259914883	2.88968
10:18657083-18670587	1.6473
10:18657083-18670587	0.0604265
4:49407188-49408154	0.77433
8:115748896-115750485	0.534253
1:322414-325578	0
6:154455905-154457343	0
1:9522788-9541394	0.770011
5:17891414-17892008	0.18653
5:17965845-17977924	0.306329
9:152073240-152075707	0.0136931
7:102138109-102140274	0.318912
1:183526616-183527207	0.122216
4:189151149-189158507	0.288535
2:215039149-215040038	0.212865
8:62001363-62009654	10.8778
2:212487101-212487524	0.36043
8:59128892-59130902	0.134178
5:119211137-119211818	0.762353
1:58734629-58735169	0
7:66710023-66710404	0.213399
4:128490302-128490963	0.260504
8:97992608-97995058	0.841375
6:158462504-158463053	0.295259
1:205501855-205505681	23.2591
10:148639903-148640311	0.289373
3:186799239-186804920	0.124899
5:174446737-174447238	0.752919
5:16618954-16619887	0.131288
8:141393217-141395336	112.177
8:141389952-141392153	0.0334321
8:141377174-141378917	0.799008
6:118181211-118184396	0
8:56185812-56203614	0.608541
4:138519895-138520444	0.317641
3:231992587-231993990	0.0852481
1:290333006-290334731	0.0781812
1:80181579-80183251	8.16913
6:33723910-33725008	1.28265
7:150960839-150961271	2.08871
5:14653636-14654221	0.254404
8:171677342-171678017	0
8:171591229-171595554	0.203524
10:31946867-31947689	0.0909083
3:191278467-191279273	13.1205
1:5022108-5023466	0.271403
4:230725986-230734895	1.0649
6:9446889-9448516	0.0659054
6:107881696-107886436	0.259196
2:216003471-216003729	0.644937
2:163942397-163942799	0.13399
5:11573324-11575089	0.094725
6:92302310-92308785	0.069611
1:176048281-176048980	0.0993994
2:193040338-193063983	1.03219
6:14203063-14203856	0.0483535
10:145614058-145624311	0.0811826
10:145624591-145625640	0.147006
1:280506092-280506316	18.1942
5:130658344-130666795	0.542592
5:571365-573577	0.902798
9:9970214-9970754	0.25953
6:120509133-120510415	0.117346
10:66806783-66807383	0.0644956
1:275086940-275090005	0
1:116745577-116745910	0.793057
1:8549322-8551254	0.600401
3:138336232-138385112	0.405327
9:25684568-25685125	0.168807
7:15549314-15549410	1466.21
1:139641816-139645113	0.0806091
8:43051760-43054341	1.03526
5:207339151-207340264	0.408031
1:99538427-99539066	6.50348
5:118930289-118932483	0.800553
7:138495658-138495919	0.894156
6:127378080-127381769	3.95612
6:127362964-127364045	2.95813
6:127446072-127447275	0.851292
1:35654553-35661876	0.96727
2:207236994-207238335	4.52828
2:207226556-207227722	6.76003
2:207352015-207363462	4.44161
2:207251166-207255709	12.7019
2:207262268-207263915	0.21335
2:207264439-207264976	0.112473
2:207265903-207268967	22.3339
5:207661254-207665389	0.483467
5:207661254-207665389	0.0916406
4:177605986-177606388	68.0963
1:181208691-181210583	1.69512
8:91198041-91199697	0.747484
7:52494321-52495126	3.44551
3:203500962-203507842	8.21543
1:212332407-212358537	0.770261
1:212332407-212358537	17.1669
8:4467801-4473237	1.52859
6:59078794-59134563	0.747481
1:288447556-288448252	3.83016
1:267774630-267775983	4.05786
6:101076358-101079855	0.0122789
2:13385629-13386127	0.534896
2:122229181-122253419	0.50853
2:75987203-75987581	0
7:117972989-117973220	0.989065
1:239157690-239158677	0.531666
5:143183401-143198584	0.492478
2:55488824-55489310	0.181565
2:33765048-33803595	0.0612833
3:218772013-218772199	27.5706
5:5433226-5435612	614.711
5:5423705-5426538	135.536
5:5377799-5382786	3.55578
5:180868776-180878474	4.8299
1:292399785-292405527	0.0313783
3:78960842-78990086	0.518495
4:129940630-129940954	0.68396
6:10065964-10067032	0.0461574
2:190083637-190087587	9.27551
2:23927960-23945980	0.335468
4:18773913-18774690	0.231995
1:92659780-92660182	0.361878
7:93389140-93391776	0.661028
3:108852321-108854094	0.425591
