chromosome coordinate	FPKM
1:131545627-131546257	0
6:5503429-5507323	0.397001
9:19931556-19933396	0
9:19961702-19962335	0.128194
4:39794586-39797110	0.0815345
9:129725275-129726237	0
8:602410-603067	0
9:59587804-59594040	2.99888
4:62363016-62363388	0.506296
4:241012700-241013855	0.149752
2:35880817-35882857	2.87941
10:149322936-149324124	0
2:30467926-30474303	0.170443
8:161864372-161865060	0.294427
5:3602042-3605499	0.387062
1:87592213-87593444	0
3:2776688-2782365	3.13434
3:2782428-2783675	19.9731
7:78112488-78113034	0.0875902
2:82790702-82791089	1.71763
3:213548726-213548999	1.40081
1:300108721-300149560	0.0573052
1:259913900-259914883	6.57351
10:18657083-18670587	1.56492
10:18657083-18670587	0.0584414
4:49407188-49408154	0
8:115748896-115750485	0.307874
1:322414-325578	0.0811635
6:154455905-154457343	0.100129
1:9522788-9541394	0.444996
5:17891414-17892008	0.167412
5:17965845-17977924	0.215171
9:152073240-152075707	0.0526137
7:102138109-102140274	0
1:183526616-183527207	0.696524
4:189151149-189158507	0.0926303
2:215039149-215040038	0
8:62001363-62009654	26.2478
2:212487101-212487524	0
8:59128892-59130902	0.0846435
5:119211137-119211818	0.586444
1:58734629-58735169	0.266454
7:66710023-66710404	0
4:128490302-128490963	0.566172
8:97992608-97995058	0.926173
6:158462504-158463053	0
1:205501855-205505681	25.6645
10:148639903-148640311	0
3:186799239-186804920	0.0256282
5:174446737-174447238	0
5:16618954-16619887	0
8:141393217-141395336	82.5785
8:141389952-141392153	0
8:141377174-141378917	0.966681
6:118181211-118184396	0.243515
8:56185812-56203614	1.09151
4:138519895-138520444	0
3:231992587-231993990	0
1:290333006-290334731	0
1:80181579-80183251	11.0048
6:33723910-33725008	1.41559
7:150960839-150961271	6.93913
5:14653636-14654221	0.267058
8:171677342-171678017	0.169768
8:171591229-171595554	0.282945
10:31946867-31947689	0.164951
3:191278467-191279273	15.0457
1:5022108-5023466	0
4:230725986-230734895	0
6:9446889-9448516	0
6:107881696-107886436	0.57708
2:216003471-216003729	0.870164
2:163942397-163942799	0
5:11573324-11575089	0
6:92302310-92308785	0
1:176048281-176048980	0
2:193040338-193063983	0.651154
6:14203063-14203856	0
10:145614058-145624311	0.154414
10:145624591-145625640	0
1:280506092-280506316	0
5:130658344-130666795	0
5:571365-573577	0.734818
9:9970214-9970754	0.793975
6:120509133-120510415	0.154356
10:66806783-66807383	0
1:275086940-275090005	2.84356
1:116745577-116745910	1.30477
1:8549322-8551254	0.958905
3:138336232-138385112	0.287625
9:25684568-25685125	0
7:15549314-15549410	0
1:139641816-139645113	0
8:43051760-43054341	1.28026
5:207339151-207340264	0.566589
1:99538427-99539066	6.83471
5:118930289-118932483	1.53286
7:138495658-138495919	0
6:127378080-127381769	3.89015
6:127362964-127364045	4.1027
6:127446072-127447275	1.73952
1:35654553-35661876	0
2:207236994-207238335	4.20482
2:207226556-207227722	10.4972
2:207352015-207363462	4.75304
2:207251166-207255709	14.3639
2:207262268-207263915	0
2:207264439-207264976	0
2:207265903-207268967	20.1853
5:207661254-207665389	0
5:207661254-207665389	0.0126374
4:177605986-177606388	71.6692
1:181208691-181210583	3.27038
8:91198041-91199697	0.66174
7:52494321-52495126	3.04011
3:203500962-203507842	10.8689
1:212332407-212358537	0.505778
1:212332407-212358537	24.6535
8:4467801-4473237	1.78167
6:59078794-59134563	0.599441
1:288447556-288448252	2.81832
1:267774630-267775983	4.53223
6:101076358-101079855	0.0126346
2:13385629-13386127	0
2:122229181-122253419	0
2:75987203-75987581	0.500846
7:117972989-117973220	0
1:239157690-239158677	0
5:143183401-143198584	0.826004
2:55488824-55489310	0.112718
2:33765048-33803595	0.0402586
3:218772013-218772199	33.0863
5:5433226-5435612	771.239
5:5423705-5426538	122.699
5:5377799-5382786	5.95233
5:180868776-180878474	7.66271
1:292399785-292405527	0.0936359
3:78960842-78990086	0.875241
4:129940630-129940954	0
6:10065964-10067032	0
2:190083637-190087587	18.168
2:23927960-23945980	1.53214
4:18773913-18774690	0
1:92659780-92660182	0.410557
7:93389140-93391776	0.545701
3:108852321-108854094	0.449353
3:108824004-108836300	0.124368
1:249805931-249806411	0
1:249813964-249814447	0
8:82826975-82827489	9.74111
8:82704347-82705602	0
6:78468698-78471235	0.114384
6:78609923-78619923	0.364728
2:11371268-11371493	24.1357
1:19678556-19678868	2.91568
6:63390931-63391652	0.579659
5:138416996-138420989	0.143378
1:180815571-180818715	1.33432
5:209115730-209116222	0.142011
6:48716422-48717417	0.109372
8:158365404-158365749	13.0138
5:70524831-70527343	3.23349
2:179082301-179082939	0
7:85585912-85587861	0.0530911
7:69078976-69079991	0.130099
6:163910474-163912307	0.422185
6:163871991-163873643	0.742297
6:163868873-163870746	0
7:167497699-167504924	0.418555
2:219552658-219558699	28.4108
1:7554959-7555421	0.526549
8:136838638-136839385	0
8:26598514-26598937	0
8:119836696-119836948	0
4:83868008-83868700	0
5:142001159-142003509	0.0516987
1:249409317-249409734	0.245073
7:121872348-121873977	0.0846572
1:192654511-192658225	0.451304
2:115999800-116000178	0
3:1885668-1901782	0.322273
5:88559614-88560763	0.765158
1:300634557-300646959	0.386058
9:712856-713707	0
7:136373270-136378039	0.364151
3:143816343-143819100	0.103129
8:137142056-137164518	0.388656
4:118468776-118470632	0.0197954
4:8901386-8901950	0.961753
5:71104498-71104958	1.57542
7:41731650-41795285	0.294694
9:37543395-37547866	0.340582
9:63336621-63337866	0.585989
9:150711345-150714357	0.385394
3:173374304-173374766	0.18028
1:248460629-248462023	4.58765
8:162970639-162971117	7.4356
8:20297012-20300099	3.68949
4:235224556-235226134	0.638654
