reg	tgt	huang_leaf	huang_root	huang_sam	huang_seed	walley_rna
Zm00001d009823	Zm00001d003016	NA	NA	NA	NA	NA
Zm00001d009823	Zm00001d003129	NA	NA	NA	NA	0.010249604
Zm00001d009823	Zm00001d011438	NA	NA	NA	NA	NA
Zm00001d009823	Zm00001d017077	NA	0.0147379934522246	NA	NA	NA
Zm00001d009823	Zm00001d017274	NA	NA	NA	NA	NA
Zm00001d009823	Zm00001d017276	NA	NA	NA	NA	NA
Zm00001d009823	Zm00001d017279	NA	NA	NA	NA	NA
Zm00001d009823	Zm00001d017601	NA	NA	NA	NA	NA
Zm00001d009823	Zm00001d018181	NA	NA	NA	NA	NA
Zm00001d009823	Zm00001d032152	NA	NA	NA	NA	NA
Zm00001d009823	Zm00001d032527	NA	NA	NA	NA	NA
Zm00001d009823	Zm00001d034635	NA	NA	NA	NA	NA
Zm00001d009823	Zm00001d044122	NA	NA	NA	NA	NA
Zm00001d009823	Zm00001d044340	NA	NA	NA	NA	NA
Zm00001d009823	Zm00001d045055	NA	NA	NA	NA	NA
Zm00001d009823	Zm00001d046915	NA	NA	NA	NA	NA
Zm00001d009823	Zm00001d047796	NA	NA	NA	NA	NA
Zm00001d009823	Zm00001d049541	NA	NA	NA	NA	NA
Zm00001d009823	Zm00001d051161	NA	NA	NA	NA	NA
Zm00001d009823	Zm00001d051166	NA	NA	NA	NA	NA
Zm00001d009823	Zm00001d051870	NA	NA	NA	NA	NA
Zm00001d009823	Zm00001d051896	NA	NA	NA	NA	NA
Zm00001d010713	Zm00001d009858	NA	NA	NA	NA	NA
Zm00001d010713	Zm00001d012274	NA	NA	NA	NA	NA
Zm00001d010713	Zm00001d017077	NA	NA	NA	NA	NA
Zm00001d010713	Zm00001d017186	NA	NA	NA	NA	NA
Zm00001d010713	Zm00001d017275	NA	NA	NA	NA	NA
Zm00001d010713	Zm00001d017601	NA	NA	NA	NA	NA
Zm00001d010713	Zm00001d018184	NA	NA	NA	NA	NA
Zm00001d010713	Zm00001d019669	NA	NA	NA	NA	NA
Zm00001d010713	Zm00001d027519	NA	NA	NA	NA	NA
Zm00001d010713	Zm00001d044340	NA	NA	NA	NA	NA
Zm00001d010713	Zm00001d045055	NA	NA	NA	NA	NA
Zm00001d010713	Zm00001d045706	NA	NA	NA	NA	NA
Zm00001d010713	Zm00001d052673	NA	NA	NA	NA	NA
Zm00001d011470	Zm00001d017274	NA	NA	0.00872559351837801	NA	NA
Zm00001d011470	Zm00001d017275	NA	NA	NA	NA	NA
Zm00001d011470	Zm00001d032152	NA	NA	NA	NA	0.008170752
Zm00001d011470	Zm00001d045206	NA	NA	0.00390332457518529	NA	NA
Zm00001d011470	Zm00001d049541	NA	NA	NA	NA	NA
Zm00001d011470	Zm00001d051163	NA	NA	0.00330404760752012	NA	NA
Zm00001d013000	Zm00001d017275	NA	NA	NA	NA	NA
Zm00001d013000	Zm00001d045706	NA	NA	NA	NA	NA
Zm00001d013000	Zm00001d049541	NA	NA	NA	NA	NA
Zm00001d013000	Zm00001d051163	NA	NA	NA	NA	NA
