reg	tgt
Zm00001d023931	Zm00001d017274
Zm00001d023931	Zm00001d017275
Zm00001d023931	Zm00001d051166
Zm00001d023931	Zm00001d051163
Zm00001d023931	Zm00001d003015
Zm00001d051520	Zm00001d011438
Zm00001d051520	Zm00001d045055
Zm00001d051520	Zm00001d032152
Zm00001d051520	Zm00001d049541
Zm00001d051520	Zm00001d012274
Zm00001d051520	Zm00001d017274
Zm00001d051520	Zm00001d017275
Zm00001d051520	Zm00001d051166
Zm00001d051520	Zm00001d051163
Zm00001d051520	Zm00001d003015
Zm00001d051520	Zm00001d007403
Zm00001d028854	Zm00001d027519
Zm00001d028854	Zm00001d044122
Zm00001d028854	Zm00001d010521
Zm00001d028854	Zm00001d029744
Zm00001d028854	Zm00001d012274
Zm00001d028854	Zm00001d032527
Zm00001d028854	Zm00001d017274
Zm00001d028854	Zm00001d051163
Zm00001d028854	Zm00001d017601
Zm00001d040621	Zm00001d027519
Zm00001d040621	Zm00001d044122
Zm00001d040621	Zm00001d045706
Zm00001d040621	Zm00001d045055
Zm00001d040621	Zm00001d009858
Zm00001d040621	Zm00001d032152
Zm00001d040621	Zm00001d049541
Zm00001d040621	Zm00001d032468
Zm00001d040621	Zm00001d017186
Zm00001d043687	Zm00001d027519
Zm00001d043687	Zm00001d045706
Zm00001d043687	Zm00001d044340
Zm00001d043687	Zm00001d052673
Zm00001d043687	Zm00001d049541
Zm00001d043687	Zm00001d012274
Zm00001d043687	Zm00001d017186
Zm00001d043687	Zm00001d017275
Zm00001d043687	Zm00001d017601
Zm00001d044107	Zm00001d044122
Zm00001d044107	Zm00001d045055
Zm00001d044107	Zm00001d032152
Zm00001d044107	Zm00001d049541
Zm00001d026204	Zm00001d027711
Zm00001d026204	Zm00001d044122
Zm00001d026204	Zm00001d032152
Zm00001d026204	Zm00001d051870
Zm00001d026204	Zm00001d010521
Zm00001d026204	Zm00001d017186
Zm00001d026204	Zm00001d017274
Zm00001d026204	Zm00001d017275
Zm00001d026204	Zm00001d051166
Zm00001d026204	Zm00001d051163
Zm00001d026204	Zm00001d003015
Zm00001d026204	Zm00001d017276
Zm00001d026204	Zm00001d051161
Zm00001d017782	Zm00001d045055
Zm00001d017782	Zm00001d034635
Zm00001d017782	Zm00001d017186
Zm00001d017782	Zm00001d051163
Zm00001d017782	Zm00001d037784
Zm00001d048059	Zm00001d046915
Zm00001d048059	Zm00001d009858
Zm00001d048059	Zm00001d002346
Zm00001d048059	Zm00001d049541
Zm00001d044825	Zm00001d045055
Zm00001d044825	Zm00001d032152
Zm00001d044825	Zm00001d034635
Zm00001d044825	Zm00001d049541
Zm00001d044825	Zm00001d051870
Zm00001d044825	Zm00001d017077
Zm00001d044825	Zm00001d018181
Zm00001d044825	Zm00001d003129
Zm00001d044825	Zm00001d017274
Zm00001d044825	Zm00001d003016
Zm00001d044825	Zm00001d051166
Zm00001d044825	Zm00001d051163
Zm00001d044825	Zm00001d051161
Zm00001d025957	Zm00001d011438
Zm00001d025957	Zm00001d045055
Zm00001d025957	Zm00001d017274
Zm00001d025957	Zm00001d051163
Zm00001d032691	Zm00001d046915
Zm00001d032691	Zm00001d044122
Zm00001d032691	Zm00001d045055
Zm00001d032691	Zm00001d031893
Zm00001d032691	Zm00001d017274
